id,population,s,time,raw_cpu_seconds,remainder_cpu_seconds,cost_times_variance_ratio,bootstrap_low,bootstrap_high,between_batch_ratio,raw_minus_remainder,raw_difference_ci_low,raw_difference_ci_high,contains_zero,source,pointer
COST-halo-s0.0-T10,halo,0.0,10.0,18.292741580749997,18.463620208,38988.555827432385,38008.69898740879,40043.78380059729,89013.14301247022,0.03216976025603217,-0.046924754305055424,0.11126427481711977,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/0
COST-exponential-s0.0-T10,exponential,0.0,10.0,1.82873912205000018e+01,18.450967581,39002.90042126581,38024.45728248502,40062.5081958592,8.90936618407266069e+04,0.03216921854770753,-0.046921970740479546,0.11126040783589461,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/1
COST-gaussian8-s0.0-T10,gaussian8,0.0,10.0,18.287942713375,18.446779216375,3730.4410208826607,3579.8762377475105,3919.335334026963,6777.02581583487,0.03298300829639182,-0.0370077711573389,0.10297378775012254,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/2
COST-stress1-s0.0-T10,stress1,0.0,10.0,18.288859926249998,18.446416439875,3.572939769067551,3.460386430686617,3.693216808840775,2.1096605914522875,0.036223608816714575,0.0018973459282978083,0.07054987170513134,False,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/3
COST-stress0.125-s0.0-T10,stress0.125,0.0,10.0,18.28903928175,18.452995532,1.016737804209338,0.9973594719687313,1.036371935222112,0.6894867574642878,0.009034377396068133,-0.0025506542962271794,0.020619409088363447,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/4
COST-stress0.015625-s0.0-T10,stress0.015625,0.0,10.0,18.2880118165,1.84515891554999989e+01,0.9923550722826365,0.9825033526006922,0.9986627043814593,1.175870745715726,0.0013425899804967065,-0.00033373147642263255,0.0030189114374160456,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/5
COST-halo-s0.0-T20,halo,0.0,20.0,18.292741580749997,18.463620208,25391.945428634426,24624.53996661829,26166.958541629858,13958.027812992583,0.05590236407960568,-0.038754975348102516,0.15055970350731387,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/6
COST-exponential-s0.0-T20,exponential,0.0,20.0,1.82873912205000018e+01,18.450967581,25401.544113783355,24632.159301332686,26179.758609945755,13964.129159393462,0.05589924128134352,-0.03875209036785747,0.15055057293054452,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/7
COST-gaussian8-s0.0-T20,gaussian8,0.0,20.0,18.287942713375,18.446779216375,1999.3461734894145,1891.745316889663,2113.2778144442254,1984.3657387402868,0.05371438320700189,-0.030226041933732642,0.1376548083477364,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/8
COST-stress1-s0.0-T20,stress1,0.0,20.0,18.288859926249998,18.446416439875,3.1531564659595115,3.0811596355943336,3.225695161501977,2.332889711105376,0.03165866197111765,-0.019993248453889695,0.083310572396125,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/9
COST-stress0.125-s0.0-T20,stress0.125,0.0,20.0,18.28903928175,18.452995532,1.017909795149854,0.9905064141138077,1.0416280115626153,1.018490228809529,0.005397198632212406,-0.006805095088520901,0.017599492352945716,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/10
COST-stress0.015625-s0.0-T20,stress0.015625,0.0,20.0,18.2880118165,1.84515891554999989e+01,0.992678781209771,0.982394717937612,0.9995410356179546,1.0610926322829333,0.000535114934937965,-0.0012415386300907963,0.002311768499966726,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/11
COST-halo-s0.25-T10,halo,0.25,10.0,18.39515475425,18.555560599625004,21774.176556288992,21232.216647945075,22388.999461166586,15771.477726461328,-0.05148008414886082,-0.15447893868341173,0.05151877038569007,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/12
COST-exponential-s0.25-T10,exponential,0.25,10.0,18.38934672525,18.549494356375,21737.650076103368,21193.28215546138,22346.460134616016,15751.228615803066,-0.05148133328551003,-0.15447782069185792,0.051515154120837854,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/13
COST-gaussian8-s0.25-T10,gaussian8,0.25,10.0,18.390016089375,18.553503759,655.0566034291986,642.440070535412,668.6876107156229,595.8602597756776,-0.04986596446467029,-0.14510870340090043,0.045376774471559855,True,diagnostics/population-accuracy/accuracy-explorer.json,/cost/rows/14
