id,population,time,cutoff,s,eta,self_reference,forecast,independent_response,independent_halo_response,intrinsic_population_error,intrinsic_error_proxy,forecast_minus_independent_halo,independent_halo_proxy,population_allowance,full_allowance,target,qualified_5_percent,independent_assessment,intrinsic_assessment,sign_qualification,sign_assessment,source,pointer
ACC-halo-T10-W40,halo,10.0,40,0.5,0.1,True,-0.008867387019249521,-0.008840007904625802,-0.008840007904625802,0.0,0.0,-2.737911462371949e-05,2.3430184436096235e-06,0.0,0.00011324417378162093,0.000437707142273395,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/0
ACC-exponential-T10-W40,exponential,10.0,40,0.5,0.1,False,-0.008872345504304553,-0.008844918689764128,-0.008840007904625802,-4.9107851383262124e-06,7.704680921039042e-09,-3.233759967875144e-05,2.3430184436096235e-06,3.540920402646638e-05,0.00014886206374779826,0.000437707142273395,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/1
ACC-gaussian8-T10-W40,gaussian8,10.0,40,0.5,0.1,False,-0.039813575121555915,-0.039610961356773,-0.008840007904625802,-0.0307709534521472,3.051307547864701e-05,-0.030973567216930113,2.3430184436096235e-06,0.11197025284719067,0.11312388443869462,0.000437707142273395,False,contradicted,contradicted,unqualified,not_qualified,diagnostics/population-accuracy/accuracy-explorer.json,/rows/2
ACC-gaussian32-T10-W40,gaussian32,10.0,40,0.5,0.1,False,-0.010345749345814982,-0.010305098354446804,-0.008840007904625802,-0.0014650904498210021,2.23114268854685e-06,-0.0015057414411891804,2.3430184436096235e-06,0.009856518896003905,0.010039453616113149,0.000437707142273395,False,contradicted,contradicted,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/3
ACC-gaussian128-T10-W40,gaussian128,10.0,40,0.5,0.1,False,-0.008962181561742038,-0.008933892195985976,-0.008840007904625802,-9.388429136017451e-05,1.474669999307343e-07,-0.00012217365711623615,2.3430184436096235e-06,0.0006772805559544055,0.0007946006922220633,0.000437707142273395,False,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/4
ACC-gaussian512-T10-W40,gaussian512,10.0,40,0.5,0.1,False,-0.008877951337996287,-0.00885047045309463,-0.008840007904625802,-1.0462548468828659e-05,1.6442566391772218e-08,-3.794343337048568e-05,2.3430184436096235e-06,7.564715255445925e-05,0.00018933826722113562,0.000437707142273395,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/5
ACC-halo-T10-W64,halo,10.0,64,0.5,0.1,True,-0.008869708565112301,-0.008842428097329796,-0.008842428097329796,0.0,0.0,-2.7280467782504758e-05,3.5910624321677798e-06,0.0,0.00012512644875950832,0.00043722910581763967,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/6
ACC-exponential-T10-W64,exponential,10.0,64,0.5,0.1,False,-0.008874662490641463,-0.00884733137233891,-0.008842428097329796,-4.9032750091132504e-06,1.076025450685858e-08,-3.2234393311667e-05,3.5910624321677798e-06,4.2253335452676437e-05,0.0001675821459382084,0.00043722910581763967,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/7
ACC-gaussian8-T10-W64,gaussian8,10.0,64,0.5,0.1,False,-0.039813573995161014,-0.03961096176794876,-0.008842428097329796,-0.030768533670618964,2.9669803504328573e-05,-0.030971145897831218,3.5910624321677798e-06,0.11090085242026711,0.11205447908264385,0.00043722910581763967,False,contradicted,contradicted,unqualified,not_qualified,diagnostics/population-accuracy/accuracy-explorer.json,/rows/8
ACC-gaussian32-T10-W64,gaussian32,10.0,64,0.5,0.1,False,-0.010346949936042234,-0.010306166523146712,-0.008842428097329796,-0.0014637384258169156,2.4389304298794157e-06,-0.001504521838712438,3.5910624321677798e-06,0.010668950294857652,0.010858305051330756,0.00043722910581763967,False,contradicted,contradicted,unqualified,not_qualified,diagnostics/population-accuracy/accuracy-explorer.json,/rows/9
ACC-gaussian128-T10-W64,gaussian128,10.0,64,0.5,0.1,False,-0.008964418838189474,-0.008936177552542751,-0.008842428097329796,-9.374945521295475e-05,1.9553172551922682e-07,-0.00012199074085967807,3.5910624321677798e-06,0.0008005503012191154,0.0009295849529306905,0.00043722910581763967,False,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/10
ACC-gaussian512-T10-W64,gaussian512,10.0,64,0.5,0.1,False,-0.00888026334305826,-0.008852874940724134,-0.008842428097329796,-1.0446843394337768e-05,2.2491236928434688e-08,-3.783524572846357e-05,3.5910624321677798e-06,9.015777585057104e-05,0.0002157167628200151,0.00043722910581763967,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/11
ACC-halo-T20-W40,halo,20.0,40,0.5,0.1,True,-0.06616340011012772,-0.06613319713032867,-0.06613319713032867,0.0,0.0,-3.0202979799054397e-05,7.69541629706827e-05,0.0,0.0005460725011709531,0.003280866380447839,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/12
ACC-exponential-T20-W40,exponential,20.0,40,0.5,0.1,False,-0.06627627994543944,-0.06624606986485695,-0.06613319713032867,-0.00011287273452828539,3.182374058996462e-07,-0.00014308281511077325,7.69541629706827e-05,0.0002049574540698535,0.0007530379779282926,0.003280866380447839,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/13
ACC-gaussian8-T20-W40,gaussian8,20.0,40,0.5,0.1,False,-0.5708245028624724,-0.5706856823283823,-0.06613319713032867,-0.5045524851980536,0.000928532909631824,-0.5046913057321438,7.69541629706827e-05,0.6688513100049264,0.6755066535848099,0.003280866380447839,False,contradicted,contradicted,unqualified,not_qualified,diagnostics/population-accuracy/accuracy-explorer.json,/rows/14
ACC-gaussian32-T20-W40,gaussian32,20.0,40,0.5,0.1,False,-0.09917515288140204,-0.09914282255621526,-0.06613319713032867,-0.03300962542588659,9.045209443217517e-05,-0.03304195575107337,7.69541629706827e-05,0.05819554117086342,0.059347377891072,0.003280866380447839,False,contradicted,contradicted,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/15
ACC-gaussian128-T20-W40,gaussian128,20.0,40,0.5,0.1,False,-0.06832906077100834,-0.06829872612209514,-0.06613319713032867,-0.0021655289917664744,6.112175958777888e-06,-0.0021958636406796683,7.69541629706827e-05,0.003932783166318135,0.004517766134654808,0.003280866380447839,False,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/16
ACC-gaussian512-T20-W40,gaussian512,20.0,40,0.5,0.1,False,-0.06640456213508365,-0.06637434429302755,-0.06613319713032867,-0.00024114716269887926,6.809956132058925e-07,-0.0002713650047549837,7.69541629706827e-05,0.00043837021022219414,0.0009887430673637012,0.003280866380447839,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/17
ACC-halo-T20-W64,halo,20.0,64,0.5,0.1,True,-0.06617361644192538,-0.0661429059666627,-0.0661429059666627,0.0,0.0,-3.071047526267967e-05,7.853030764998215e-05,0.0,0.0005198892948263877,0.00328268635735495,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/18
ACC-exponential-T20-W64,exponential,20.0,64,0.5,0.1,False,-0.06628647353932035,-0.06625575524778318,-0.0661429059666627,-0.0001128492811204862,3.1411719605967114e-07,-0.00014356757265765463,7.853030764998215e-05,0.0002117799559751274,0.0007337375146779011,0.00328268635735495,True,supported,supported,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/19
ACC-gaussian8-T20-W64,gaussian8,20.0,64,0.5,0.1,False,-0.5708245070720454,-0.5706856853652953,-0.0661429059666627,-0.5045427793986326,0.0009274604218621474,-0.5046816011053826,7.853030764998215e-05,0.6676110966069256,0.6742664427917843,0.00328268635735495,False,contradicted,contradicted,unqualified,not_qualified,diagnostics/population-accuracy/accuracy-explorer.json,/rows/20
ACC-gaussian32-T20-W64,gaussian32,20.0,64,0.5,0.1,False,-0.09918072375200195,-0.09914779287582381,-0.0661429059666627,-0.03300488690916112,8.97728828122557e-05,-0.03303781778533925,7.853030764998215e-05,0.05899185570129811,0.06013069572546747,0.00328268635735495,False,contradicted,contradicted,negative,supported,diagnostics/population-accuracy/accuracy-explorer.json,/rows/21
